"","time","pstate1","pstate2","pstate3","pstate4"
"1",0,0.987843313822602,0.0121566861773976,0,0
"2",0.0923611110993079,0.987393066186403,0.0126069338135975,0,0
"3",0.110416666699166,0.986942818550203,0.0130571814497974,0,0
"4",0.132638888899237,0.986492570914003,0.0135074290859973,0,0
"5",0.134745370400196,0.984690346062412,0.0153096539375882,0,0
"6",0.14097222219425,0.98288812120996,0.0171118787900407,0,0
"7",0.143055555599858,0.982437874704595,0.0175621252954049,0,0
"8",0.154861111099308,0.980635649282918,0.0193643507170823,0,0
"9",0.181944444499095,0.978833423860368,0.0211665761396322,0,0
"10",0.195138888906513,0.978383178495207,0.0216168215047934,0,0
"11",0.214583333399787,0.977932933130046,0.0220670668699546,0,0
"12",0.236805555599858,0.977482687764885,0.0225173122351157,0,0
"13",0.263888888897782,0.977032442399724,0.0229675576002768,0,0
"14",0.272916666697711,0.976582197034563,0.023417802965438,0,0
"15",0.334027777797019,0.976131951669401,0.0238680483305992,0,0
"16",0.370138888894871,0.974329722799563,0.0256702772004377,0,0
"17",0.395833333401242,0.973879478010839,0.0261205219891621,0,0
"18",0.404861111099308,0.972077248561717,0.0279227514382838,0,0
"19",0.408182870298333,0.973924011708145,0.0260759882918551,0,0
"20",0.440277777794108,0.973473746330564,0.0265262536694363,0,0
"21",0.452083333395422,0.973023480952983,0.0269765190470175,0,0
"22",0.470138888900692,0.971217823346426,0.0287821766535749,0,0
"23",0.479039351797837,0.970766723567816,0.0292332764321845,0,0
"24",0.482638888897782,0.970315623789207,0.029684376210794,0,0
"25",0.485416666699166,0.969864524010597,0.0301354759894036,0,0
"26",0.503472222204437,0.969413424231987,0.0305865757680132,0,0
"27",0.524305555605679,0.968962324453378,0.0305865757680132,0.000451099778609597,0
"28",0.529861111099308,0.967156663913276,0.0305865757680132,0.00225676031871123,0
"29",0.536111111097853,0.966705564723018,0.0305865757680132,0.00270785950896925,0
"30",0.543055555594037,0.967155367307842,0.0301367731831895,0.00270785950896925,0
"31",0.55000000000291,0.96534633175645,0.0301367731831895,0.00451689506036154,0
"32",0.5583333333052,0.963537296204129,0.0319458087355101,0.00451689506036154,0
"33",0.579166666706442,0.961724857807606,0.0319458087355101,0.00632933345688396,0
"34",0.586111111100763,0.959908997291835,0.0319458087355101,0.00814519397265506,0
"35",0.589583333297924,0.958093136775106,0.0319458087355101,0.00996105448938475,0
"36",0.597222222204437,0.956277276257412,0.0319458087355101,0.0117769150070784,0
"37",0.610416666597303,0.954461415738749,0.0319458087355101,0.0135927755257416,0
"38",0.615277777702431,0.952645555219111,0.0319458087355101,0.0154086360453798,0
"39",0.622222222300479,0.95219191447853,0.0319458087355101,0.0158622767859604,0
"40",0.623611111099308,0.950376053339044,0.0319458087355101,0.0176781379254465,0
"41",0.625,0.949922413218118,0.0323994488564356,0.0176781379254465,0
"42",0.631249999998545,0.948106551455816,0.0323994488564356,0.0194939996877485,0
"43",0.645833333401242,0.947652911957512,0.0323994488564356,0.0199476391860528,0
"44",0.657638888900692,0.945837049569405,0.0323994488564356,0.0217635015741596,0
"45",0.660416666600213,0.94538341069671,0.0323994488564356,0.0222171404468547,0
"46",0.665277777799929,0.944929771824015,0.0328530877291308,0.0222171404468547,0
"47",0.671527777798474,0.943113908178675,0.0328530877291308,0.0240330040921941,0
"48",0.688194444504916,0.941298044532325,0.0328530877291308,0.0258488677385443,0
"49",0.691365740698529,0.939482180884959,0.0346689513764974,0.0258488677385443,0
"50",0.698611111096398,0.935846937026164,0.0346689513764974,0.029484111597339,0
"51",0.704861111094942,0.935393303028575,0.0351225853740865,0.029484111597339,0
"52",0.720833333303744,0.934939669030986,0.0351225853740865,0.0299377455949281,0
"53",0.73750000000291,0.934486035033397,0.0351225853740865,0.0303913795925171,0
"54",0.738888888903602,0.932670176280522,0.0351225853740865,0.0322072383453919,0
"55",0.756944444496185,0.932215658650756,0.0351225853740865,0.0326617559751582,0
"56",0.761111111096398,0.931761141020989,0.0351225853740865,0.0326617559751582,0.000454517629766295
"57",0.770138888896327,0.931306623391223,0.0351225853740865,0.0331162736049245,0.000454517629766295
"58",0.771527777702431,0.929487220409874,0.0351225853740865,0.0349356765862733,0.000454517629766295
"59",0.772708333402989,0.927667817427462,0.0369419883564992,0.0349356765862733,0.000454517629766295
"60",0.776388888894871,0.925848414443978,0.0369419883564992,0.0367550795697564,0.000454517629766295
"61",0.779861111099308,0.925393898776603,0.0369419883564992,0.0372095952371319,0.000454517629766295
"62",0.781944444504916,0.924939383109227,0.0369419883564992,0.0376641109045075,0.000454517629766295
"63",0.787500000005821,0.925389895162355,0.0364914763033711,0.0376641109045075,0.000454517629766295
"64",0.790277777799929,0.923570499390181,0.0364914763033711,0.0394835066766821,0.000454517629766295
"65",0.793055555601313,0.923115986349142,0.0364914763033711,0.0394835066766821,0.000909030670804832
"66",0.794444444400142,0.921296589913572,0.0364914763033711,0.0413029031122528,0.000909030670804832
"67",0.799305555497995,0.920842077535716,0.0364914763033711,0.0417574154901085,0.000909030670804832
"68",0.809722222198616,0.92038756515786,0.0364914763033711,0.0417574154901085,0.00136354304866059
"69",0.811805555604224,0.918568167389365,0.0364914763033711,0.0417574154901085,0.0031829408171553
"70",0.826388888897782,0.916748769619768,0.0364914763033711,0.0435768132597057,0.0031829408171553
"71",0.836805555598403,0.914929371849062,0.0364914763033711,0.0453962110304117,0.0031829408171553
"72",0.839583333297924,0.914474861480533,0.0364914763033711,0.0458507213989408,0.0031829408171553
